source,target,weight
38,382,1
38,816,1
38,1010,1
38,1575,1
38,1791,1
38,1838,1
41,1257,1
43,90,1
43,190,0.75
43,347,0.75
43,363,0.75
43,387,1
43,403,1
43,487,0.75
43,508,1
43,515,1
43,733,1
43,782,1
43,890,1
43,957,0.75
43,1029,0.75
43,1041,1
43,1068,0.75
43,1102,0.75
43,1136,0.75
43,1154,1
43,1404,0.75
43,1444,0.75
43,1507,0.75
43,1527,0.75
43,1597,0.75
43,1666,0.75
43,1689,0.75
43,1749,0.75
43,1802,1
43,1900,0.75
43,1914,0.75
43,1964,0.75
43,1974,1
43,1992,1
43,2024,0.75
44,73,1
44,91,1
44,107,1
44,135,1
44,167,1
44,195,1
44,216,0.75
44,217,1
44,271,0.75
44,279,1
44,338,1
44,343,1
44,402,0.75
44,410,1
44,456,0.5
44,510,0.75
44,520,1
44,584,0.75
44,598,0.75
44,604,1
44,649,1
44,716,1
44,722,1
44,736,1
44,826,0.75
44,840,1
44,851,0.75
44,872,1
44,902,0.75
44,938,1
44,954,1
44,960,1
44,963,1
44,998,0.5
44,1063,1
44,1083,1
44,1128,1
44,1143,0.5
44,1193,0.75
44,1238,1
44,1257,0.5
44,1268,1
44,1277,1
44,1290,1
44,1294,1
44,1330,1
44,1379,0.75
44,1408,1
44,1431,1
44,1439,0.75
44,1452,1
44,1466,0.75
44,1500,1
44,1521,1
44,1531,1
44,1577,1
44,1579,0.75
44,1586,0.75
44,1596,1
44,1607,1
44,1781,0.75
44,1790,1
44,1844,0.75
44,1853,0.75
44,1873,0.5
44,1893,1
44,1926,1
44,1935,1
44,1941,1
44,1962,0.5
44,1973,0.75
44,1994,0.75
44,1997,0.75
45,1668,1
46,119,0.666667
46,164,0.666667
46,265,0.666667
46,305,1
46,328,1
46,409,1
46,411,0.666667
46,418,0.666667
46,456,0.666667
46,464,0.666667
46,557,0.666667
46,640,0.666667
46,667,0.666667
46,689,0.666667
46,793,1
46,816,1
46,889,0.666667
46,979,0.666667
46,998,0.666667
46,1018,0.666667
46,1072,0.666667
46,1119,0.666667
46,1178,1
46,1240,0.666667
46,1322,0.666667
46,1368,0.666667
46,1429,0.666667
46,1433,1
46,1575,0.666667
46,1585,0.666667
46,1669,0.666667
46,1742,1
46,1791,0.666667
46,1838,0.666667
46,1962,0.666667
46,1975,0.666667
46,1986,0.666667
48,1668,1
50,750,1
50,1892,1
50,2002,1
51,1668,1
53,110,1
53,153,1
53,188,1
53,377,1
53,401,1
53,513,1
53,561,1
53,668,1
53,732,1
53,987,1
53,1087,1
53,1325,1
53,1372,1
53,1792,1
53,1871,1
53,1951,1
53,1972,1
53,1985,1
53,2003,1
54,1257,1
54,1873,1
55,95,1
55,183,1
55,238,1
55,318,1
55,652,1
55,737,1
55,1143,0.5
55,1902,1
56,1668,1
59,1832,1
60,588,1
60,894,1
60,2015,1
63,118,1
63,119,1
63,154,0.75
63,164,0.75
63,265,0.75
63,315,0.5
63,332,0.666667
63,418,0.75
63,456,0.5
63,464,0.75
63,478,0.75
63,555,0.75
63,557,0.75
63,573,0.75
63,640,1
63,689,0.75
63,903,1
63,979,1
63,998,0.5
63,1010,1
63,1072,0.75
63,1079,0.666667
63,1080,1
63,1099,1
63,1119,0.75
63,1190,1
63,1213,0.75
63,1240,0.75
63,1286,1
63,1322,0.75
63,1368,0.75
63,1429,0.75
63,1485,1
63,1509,0.75
63,1522,0.75
63,1575,0.75
63,1585,0.75
63,1628,1
63,1662,1
63,1668,0.5
63,1669,0.75
63,1717,1
63,1750,0.75
63,1791,0.75
63,1875,0.5
63,1877,0.75
63,1918,0.75
63,1962,0.5
63,1986,0.75
63,2000,1
63,2005,0.75
65,221,1
65,848,1
65,923,1
65,1158,0.666667
70,962,0.666667
70,1711,1
70,1873,0.666667
73,91,1
73,107,1
73,135,1
73,167,1
73,195,1
73,216,0.75
73,217,1
73,271,0.75
73,279,1
73,338,1
73,343,1
73,402,0.75
73,410,1
73,456,0.5
73,510,0.75
73,520,1
73,584,0.75
73,598,0.75
73,604,1
73,649,1
73,716,1
73,722,1
73,736,1
73,826,0.75
73,840,1
73,851,0.75
73,872,1
73,902,0.75
73,938,1
73,954,1
73,960,1
73,963,1
73,998,0.5
73,1063,1
73,1083,1
73,1128,1
73,1193,0.75
73,1238,1
73,1257,0.5
73,1268,1
73,1277,1
73,1290,1
73,1294,1
73,1330,1
73,1379,0.75
73,1408,1
73,1431,1
73,1439,0.75
73,1452,1
73,1466,0.75
73,1500,1
73,1521,1
73,1531,1
73,1577,1
73,1579,0.75
73,1586,0.75
73,1596,1
73,1607,1
73,1781,0.75
73,1790,1
73,1844,0.75
73,1853,0.75
73,1873,0.5
73,1893,1
73,1926,1
73,1935,1
73,1941,1
73,1962,0.5
73,1973,0.75
73,1994,0.75
73,1997,0.75
74,176,0.5
74,1257,0.5
74,1898,0.5
75,247,1
75,465,1
75,1186,1
75,1905,0.5
75,2026,0.5
79,244,0.75
79,245,0.75
79,429,1
79,727,0.75
79,990,1
79,997,1
79,1057,1
79,1158,0.75
79,1194,1
79,1305,0.666667
79,1376,0.666667
79,1392,0.75
79,1423,1
79,1443,1
79,1549,0.75
79,1980,1
83,349,1
83,361,1
83,534,1
83,828,1
83,1562,1
83,1705,1
83,1767,0.666667
83,1996,1
88,1668,1
89,164,0.666667
89,209,0.666667
89,265,0.666667
89,315,1
89,384,1
89,555,0.666667
89,557,0.666667
89,689,0.666667
89,1240,0.666667
89,1429,0.666667
89,1522,0.666667
89,1669,0.666667
89,1673,0.666667
89,1730,1
89,1769,1
89,1838,0.666667
90,190,0.75
90,347,0.75
90,363,0.75
90,387,1
90,403,1
90,487,0.75
90,508,1
90,515,1
90,733,1
90,782,1
90,890,1
90,957,0.75
90,1029,0.75
90,1041,1
90,1068,0.75
90,1102,0.75
90,1136,0.75
90,1154,1
90,1404,0.75
90,1444,0.75
90,1507,0.75
90,1527,0.75
90,1597,0.75
90,1666,0.75
90,1689,0.75
90,1749,0.75
90,1802,1
90,1900,0.75
90,1914,0.75
90,1964,0.75
90,1974,1
90,1992,1
90,2024,0.75
91,107,1
91,135,1
91,167,1
91,195,1
91,216,0.75
91,217,1
91,271,0.75
91,279,1
91,338,1
91,343,1
91,402,0.75
91,410,1
91,456,0.5
91,510,0.75
91,520,1
91,584,0.75
91,598,0.75
91,604,1
91,649,1
91,716,1
91,722,1
91,736,1
91,826,0.75
91,840,1
91,851,0.75
91,872,1
91,902,0.75
91,938,1
91,954,1
91,960,1
91,963,1
91,998,0.5
91,1063,1
91,1083,1
91,1128,1
91,1143,0.5
91,1193,0.75
91,1238,1
91,1257,0.5
91,1268,1
91,1277,1
91,1290,1
91,1294,1
91,1330,1
91,1379,0.75
91,1408,1
91,1431,1
91,1439,0.75
91,1452,1
91,1466,0.75
91,1500,1
91,1521,1
91,1531,1
91,1577,1
91,1579,0.75
91,1586,0.75
91,1596,1
91,1607,1
91,1781,0.75
91,1790,1
91,1844,0.75
91,1853,0.75
91,1873,0.5
91,1893,1
91,1926,1
91,1935,1
91,1941,1
91,1962,0.5
91,1973,0.75
91,1994,0.75
91,1997,0.75
92,322,1
92,349,1
92,794,0.5
92,852,1
92,1133,1
92,1705,1
95,183,1
95,238,1
95,318,1
95,652,1
95,737,1
95,827,1
95,1143,0.5
95,1902,1
96,452,1
97,469,1
103,119,1
103,154,1
103,332,1
103,410,0.5
103,418,1
103,449,1
103,456,1
103,462,0.5
103,464,1
103,478,1
103,555,1
103,557,1
103,573,1
103,584,0.5
103,689,1
103,826,0.5
103,851,0.5
103,863,0.5
103,866,1
103,898,0.5
103,903,1
103,998,1
103,1010,1
103,1072,1
103,1079,1
103,1119,1
103,1240,1
103,1257,0.5
103,1277,0.5
103,1322,1
103,1429,1
103,1439,0.5
103,1466,0.5
103,1509,1
103,1522,1
103,1546,0.5
103,1575,1
103,1585,1
103,1662,1
103,1668,0.5
103,1669,1
103,1750,1
103,1767,0.5
103,1791,1
103,1832,1
103,1838,1
103,1853,0.5
103,1873,0.5
103,1877,1
103,1918,1
103,1962,1
103,1973,0.5
103,1986,1
103,1997,0.5
103,2005,1
104,120,0.5
104,332,0.5
104,411,0.5
104,422,0.5
104,462,0.5
104,464,0.5
104,478,0.5
104,538,0.5
104,666,0.5
104,703,1
104,998,0.5
104,1051,1
104,1276,0.5
104,1322,0.5
104,1409,1
104,1509,0.5
104,1575,0.5
104,1585,0.5
104,1628,0.5
104,1791,0.5
104,1829,1
104,1832,0.5
104,1877,0.5
104,1961,0.5
104,1962,0.5
104,1986,0.5
107,135,1
107,167,1
107,195,1
107,216,0.75
107,217,1
107,271,0.75
107,279,1
107,338,1
107,343,1
107,402,0.75
107,410,1
107,456,0.5
107,510,0.75
107,520,1
107,584,0.75
107,598,0.75
107,604,1
107,649,1
107,716,1
107,722,1
107,736,1
107,826,0.75
107,840,1
107,851,0.75
107,872,1
107,902,0.75
107,938,1
107,954,1
107,960,1
107,963,1
107,998,0.5
107,1063,1
107,1083,1
107,1128,1
107,1193,0.75
107,1238,1
107,1257,0.5
107,1268,1
107,1277,1
107,1290,1
107,1294,1
107,1330,1
107,1379,0.75
107,1408,1
107,1431,1
107,1439,0.75
107,1452,1
107,1466,0.75
107,1500,1
107,1521,1
107,1531,1
107,1577,1
107,1579,0.75
107,1586,0.75
107,1596,1
107,1607,1
107,1781,0.75
107,1790,1
107,1844,0.75
107,1853,0.75
107,1873,0.5
107,1893,1
107,1926,1
107,1935,1
107,1941,1
107,1962,0.5
107,1973,0.75
107,1994,0.75
107,1997,0.75
108,119,0.5
108,154,0.5
108,164,0.5
108,176,1
108,277,0.5
108,418,0.5
108,464,0.5
108,478,0.5
108,555,0.5
108,557,0.5
108,573,0.5
108,682,0.5
108,689,0.5
108,998,0.5
108,1080,0.5
108,1119,0.5
108,1240,0.5
108,1429,0.5
108,1485,0.5
108,1509,0.5
108,1575,0.5
108,1585,0.5
108,1618,0.5
108,1628,0.5
108,1662,0.5
108,1750,0.5
108,1766,0.5
108,1791,0.5
108,1815,0.5
108,1877,0.5
108,1975,0.5
108,1986,0.5
108,2005,0.5
110,153,1
110,188,1
110,377,1
110,401,1
110,513,1
110,561,1
110,668,1
110,732,1
110,987,1
110,1087,1
110,1325,1
110,1372,1
110,1792,1
110,1871,1
110,1951,1
110,1972,1
110,1985,1
110,2003,1
116,456,0.666667
116,573,0.666667
116,866,0.666667
116,868,0.666667
116,889,0.666667
116,915,0.666667
116,964,0.666667
116,1134,0.666667
116,1213,0.666667
116,1322,0.666667
116,1381,1
116,2005,0.666667
118,154,0.666667
118,265,0.666667
118,411,0.666667
118,418,0.666667
118,456,0.666667
118,464,0.666667
118,478,0.666667
118,573,0.666667
118,667,0.666667
118,689,0.666667
118,903,1
118,979,1
118,998,0.666667
118,1080,1
118,1099,1
118,1190,1
118,1213,0.666667
118,1240,0.666667
118,1322,0.666667
118,1368,0.666667
118,1429,0.666667
118,1509,0.666667
118,1575,0.666667
118,1585,0.666667
118,1628,1
118,1669,0.666667
118,1717,1
118,1750,0.666667
118,1766,1
118,1791,0.666667
118,1832,0.666667
118,1877,0.666667
118,1962,0.666667
118,1986,0.666667
118,2000,1
119,154,1
119,164,1
119,176,0.5
119,202,0.666667
119,242,1
119,265,1
119,277,1
119,305,0.666667
119,315,0.5
119,328,0.666667
119,332,1
119,382,0.666667
119,409,0.666667
119,411,1
119,418,1
119,422,1
119,433,1
119,449,0.666667
119,452,0.666667
119,456,0.666667
119,462,0.5
119,464,1
119,478,1
119,555,1
119,557,1
119,573,1
119,627,0.666667
119,640,1
119,689,1
119,793,0.666667
119,795,1
119,816,0.666667
119,863,0.5
119,866,1
119,889,1
119,903,1
119,979,1
119,998,0.666667
119,1010,1
119,1018,1
119,1072,1
119,1079,0.666667
119,1080,1
119,1119,1
119,1134,1
119,1178,0.666667
119,1190,1
119,1213,1
119,1240,1
119,1276,1
119,1286,1
119,1322,1
119,1368,1
119,1401,1
119,1429,1
119,1433,0.666667
119,1485,1
119,1509,1
119,1522,1
119,1575,1
119,1585,1
119,1618,1
119,1628,1
119,1662,1
119,1668,0.666667
119,1669,1
119,1673,1
119,1742,0.666667
119,1750,1
119,1766,1
119,1791,1
119,1815,1
119,1838,1
119,1875,0.5
119,1877,1
119,1918,1
119,1962,0.666667
119,1975,1
119,1986,1
119,2000,1
119,2005,1
120,277,0.5
120,332,0.5
120,422,0.5
120,666,1
120,868,0.5
120,1276,0.5
120,1618,0.5
120,1628,0.5
120,1918,0.5
120,2026,0.5
121,1856,1
121,1922,1
122,1668,1
124,694,1
124,1580,1
131,894,0.5
131,1993,1
135,167,1
135,195,1
135,216,0.75
135,217,1
135,271,0.75
135,279,1
135,338,1
135,343,1
135,402,0.75
135,410,1
135,456,0.5
135,510,0.75
135,520,1
135,584,0.75
135,598,0.75
135,604,1
135,649,1
135,716,1
135,722,1
135,736,1
135,826,0.75
135,840,1
135,851,0.75
135,872,1
135,902,0.75
135,938,1
135,954,1
135,960,1
135,963,1
135,998,0.5
135,1063,1
135,1083,1
135,1128,1
135,1193,0.75
135,1238,1
135,1257,0.5
135,1268,1
135,1277,1
135,1290,1
135,1294,1
135,1330,1
135,1379,0.75
135,1408,1
135,1431,1
135,1439,0.75
135,1452,1
135,1466,0.75
135,1500,1
135,1521,1
135,1531,1
135,1577,1
135,1579,0.75
135,1586,0.75
135,1596,1
135,1607,1
135,1781,0.75
135,1790,1
135,1844,0.75
135,1853,0.75
135,1873,0.5
135,1893,1
135,1926,1
135,1935,1
135,1941,1
135,1962,0.5
135,1973,0.75
135,1994,0.75
135,1997,0.75
139,448,1
139,729,1
139,1499,1
140,1668,1
141,278,1
141,292,1
141,818,1
141,891,1
141,1478,1
141,1779,1
141,1905,0.5
145,904,0.666667
145,1035,0.666667
145,1211,0.666667
145,1555,0.666667
145,1649,0.666667
145,1690,0.666667
145,1784,1
145,2026,0.5
147,625,1
147,1257,0.5
147,1873,0.5
148,828,1
149,306,1
150,449,0.5
150,573,0.5
150,689,0.5
150,712,0.5
150,717,1
150,998,0.5
150,1322,0.5
150,1575,0.5
150,1585,0.5
150,1750,0.5
150,1832,0.5
150,1838,0.5
152,202,0.5
152,349,0.5
152,361,0.5
152,439,0.5
152,682,1
152,731,1
152,823,1
152,1257,0.5
152,1637,1
152,1739,1
152,1767,0.5
152,1873,0.5
153,188,1
153,377,1
153,401,1
153,513,1
153,561,1
153,668,1
153,732,1
153,987,1
153,1087,1
153,1325,1
153,1372,1
153,1792,1
153,1871,1
153,1951,1
153,1972,1
153,1985,1
153,2003,1
154,164,0.75
154,176,0.5
154,242,1
154,265,0.75
154,277,0.75
154,315,0.5
154,332,0.666667
154,382,0.75
154,384,0.5
154,411,0.75
154,418,0.75
154,433,1
154,449,0.5
154,452,0.5
154,456,0.5
154,462,0.5
154,464,0.75
154,478,0.75
154,555,0.75
154,557,0.75
154,573,0.75
154,627,0.75
154,629,0.5
154,640,1
154,665,0.5
154,667,0.5
154,689,0.75
154,712,0.75
154,795,1
154,863,0.5
154,866,0.75
154,868,0.75
154,889,0.75
154,903,0.75
154,915,0.666667
154,964,0.75
154,977,0.75
154,979,0.75
154,998,0.5
154,1010,1
154,1018,1
154,1072,1
154,1079,0.666667
154,1080,0.75
154,1099,0.5
154,1119,0.75
154,1134,0.75
154,1190,0.75
154,1213,0.75
154,1226,0.5
154,1240,0.75
154,1276,1
154,1286,1
154,1322,0.75
154,1365,1
154,1368,1
154,1401,1
154,1429,0.75
154,1485,1
154,1509,0.75
154,1522,0.75
154,1553,1
154,1575,0.75
154,1585,0.75
154,1618,1
154,1628,0.75
154,1662,1
154,1668,0.5
154,1669,0.75
154,1673,0.75
154,1717,0.666667
154,1750,0.75
154,1766,1
154,1791,0.75
154,1815,1
154,1832,0.75
154,1838,0.75
154,1855,0.5
154,1875,0.5
154,1877,0.75
154,1918,0.75
154,1961,0.75
154,1962,0.5
154,1975,1
154,1986,0.75
154,2000,0.666667
154,2005,0.75
154,2026,0.5
157,832,1
164,176,0.5
164,202,0.5
164,209,0.666667
164,242,1
164,265,1
164,271,0.5
164,277,0.75
164,305,0.5
164,315,0.5
164,328,0.5
164,409,0.5
164,411,0.75
164,418,0.75
164,433,0.75
164,452,0.5
164,456,0.5
164,464,0.75
164,478,0.75
164,510,0.5
164,555,1
164,557,1
164,573,0.75
164,584,0.5
164,598,0.5
164,640,1
164,689,1
164,712,0.75
164,793,0.5
164,816,0.5
164,868,0.75
164,889,0.75
164,903,0.75
164,979,0.75
164,998,0.5
164,1010,1
164,1018,0.75
164,1072,0.75
164,1080,0.75
164,1119,0.75
164,1134,0.75
164,1178,0.5
164,1190,0.75
164,1213,0.75
164,1240,1
164,1286,1
164,1322,0.75
164,1368,0.75
164,1401,0.75
164,1429,1
164,1433,0.666667
164,1485,1
164,1509,0.75
164,1522,1
164,1575,0.75
164,1585,0.75
164,1618,1
164,1628,0.75
164,1662,1
164,1668,0.5
164,1669,1
164,1673,1
164,1730,0.666667
164,1742,0.666667
164,1750,0.75
164,1766,1
164,1791,0.75
164,1815,1
164,1838,1
164,1875,0.5
164,1877,0.75
164,1962,0.5
164,1975,1
164,1986,0.75
164,2000,0.666667
164,2005,0.75
165,349,0.75
165,538,0.75
165,583,1
165,828,1
165,917,1
165,1562,1
167,195,1
167,216,0.75
167,217,1
167,271,0.75
167,279,1
167,338,1
167,343,1
167,402,0.75
167,410,1
167,456,0.5
167,510,0.75
167,520,1
167,584,0.75
167,598,0.75
167,604,1
167,649,1
167,716,1
167,722,1
167,736,1
167,826,0.75
167,840,1
167,851,0.75
167,872,1
167,902,0.75
167,938,1
167,954,1
167,960,1
167,963,1
167,998,0.5
167,1063,1
167,1083,1
167,1128,1
167,1193,0.75
167,1238,1
167,1257,0.5
167,1268,1
167,1277,1
167,1290,1
167,1294,1
167,1330,1
167,1379,0.75
167,1408,1
167,1431,1
167,1439,0.75
167,1452,1
167,1466,0.75
167,1500,1
167,1521,1
167,1531,1
167,1577,1
167,1579,0.75
167,1586,0.75
167,1596,1
167,1607,1
167,1781,0.75
167,1790,1
167,1844,0.75
167,1853,0.75
167,1873,0.5
167,1893,1
167,1926,1
167,1935,1
167,1941,1
167,1962,0.5
167,1973,0.75
167,1994,0.75
167,1997,0.75
170,1668,1
173,998,1
173,1080,1
176,277,0.5
176,418,0.5
176,464,0.5
176,478,0.5
176,555,0.5
176,557,0.5
176,573,0.5
176,667,0.5
176,689,0.5
176,998,0.5
176,1080,0.5
176,1119,0.5
176,1240,0.5
176,1429,0.5
176,1485,0.5
176,1509,0.5
176,1575,0.5
176,1585,0.5
176,1618,0.5
176,1628,0.5
176,1662,0.5
176,1750,0.5
176,1766,0.5
176,1791,0.5
176,1815,0.5
176,1877,0.5
176,1898,0.5
176,1975,0.5
176,1986,0.5
176,2005,0.5
177,452,1
181,755,1
183,238,1
183,318,1
183,652,1
183,737,1
183,1143,0.5
183,1902,1
185,1705,1
185,1873,1
186,1873,1
187,1873,1
188,377,1
188,401,1
188,513,1
188,561,1
188,668,1
188,732,1
188,987,1
188,1087,1
188,1325,1
188,1372,1
188,1792,1
188,1871,1
188,1951,1
188,1972,1
188,1985,1
188,2003,1
190,347,1
190,387,0.75
190,403,0.75
190,487,1
190,508,0.75
190,515,0.75
190,733,0.75
190,782,0.75
190,890,0.75
190,957,1
190,1041,0.75
190,1068,1
190,1102,1
190,1154,0.75
190,1404,1
190,1444,1
190,1527,1
190,1666,1
190,1802,0.75
190,1974,0.75
190,1992,0.75
190,2024,1
194,204,1
194,452,0.5
195,216,0.75
195,217,1
195,271,0.75
195,279,1
195,338,1
195,343,1
195,402,0.75
195,410,1
195,456,0.5
195,510,0.75
195,520,1
195,584,0.75
195,598,0.75
195,604,1
195,649,1
195,716,1
195,722,1
195,736,1
195,826,0.75
195,840,1
195,851,0.75
195,872,1
195,902,0.75
195,938,1
195,954,1
195,960,1
195,963,1
195,998,0.5
195,1063,1
195,1083,1
195,1128,1
195,1193,0.75
195,1238,1
195,1257,0.5
195,1268,1
195,1277,1
195,1290,1
195,1294,1
195,1330,1
195,1379,0.75
195,1408,1
195,1431,1
195,1439,0.75
195,1452,1
195,1466,0.75
195,1500,1
195,1521,1
195,1531,1
195,1577,1
195,1579,0.75
195,1586,0.75
195,1596,1
195,1607,1
195,1781,0.75
195,1790,1
195,1844,0.75
195,1853,0.75
195,1873,0.5
195,1893,1
195,1926,1
195,1935,1
195,1941,1
195,1962,0.5
195,1973,0.75
195,1994,0.75
195,1997,0.75
196,1676,1
196,1873,0.5
196,1891,1
198,1668,1
202,265,0.5
202,344,0.5
202,361,0.5
202,374,0.666667
202,411,0.5
202,418,0.5
202,452,0.5
202,458,0.666667
202,464,0.5
202,478,0.5
202,491,0.5
202,557,0.5
202,573,0.5
202,602,0.5
202,640,0.666667
202,686,1
202,689,0.5
202,731,0.5
202,795,0.5
202,831,0.5
202,866,0.5
202,868,0.5
202,889,0.5
202,944,0.5
202,964,0.5
202,979,0.5
202,1018,0.5
202,1060,0.5
202,1072,0.5
202,1119,0.5
202,1207,0.666667
202,1240,0.5
202,1257,0.5
202,1322,0.5
202,1323,1
202,1368,0.5
202,1429,0.5
202,1487,1
202,1509,0.5
202,1575,0.5
202,1585,0.5
202,1638,1
202,1662,0.666667
202,1668,0.5
202,1669,0.5
202,1673,0.5
202,1726,0.5
202,1750,0.5
202,1755,1
202,1767,0.5
202,1791,0.5
202,1832,0.5
202,1838,0.5
202,1873,0.5
202,1877,0.5
202,1911,1
202,1961,0.5
202,1975,0.666667
202,1986,0.5
202,1996,1
203,1679,1
203,1705,0.5
204,452,0.5
206,1668,1
209,265,0.666667
209,534,0.5
209,538,0.666667
209,555,0.666667
209,557,0.666667
209,689,0.666667
209,1240,0.666667
209,1429,0.666667
209,1522,0.666667
209,1669,0.666667
209,1673,0.666667
209,1726,0.5
209,1730,0.666667
210,584,1
211,1668,1
216,217,0.75
216,271,0.75
216,279,0.75
216,338,0.75
216,343,0.75
216,402,1
216,410,0.75
216,456,0.5
216,510,0.75
216,520,0.75
216,584,0.75
216,598,0.75
216,604,0.75
216,649,0.75
216,716,0.75
216,722,0.75
216,736,0.75
216,826,0.75
216,840,0.75
216,851,0.75
216,872,0.75
216,902,1
216,938,0.75
216,942,0.5
