Size = 0, freq = 0, total vertices = 0
Size = 80, freq = 0, total vertices = 0
Size = 81, freq = 0, total vertices = 0
Size = 82, freq = 0, total vertices = 0
Size = 83, freq = 0, total vertices = 0
Size = 84, freq = 0, total vertices = 0
Size = 85, freq = 0, total vertices = 0
Size = 86, freq = 0, total vertices = 0
Size = 87, freq = 0, total vertices = 0
Size = 88, freq = 0, total vertices = 0
Size = 89, freq = 0, total vertices = 0
Size = 90, freq = 0, total vertices = 0
Size = 91, freq = 0, total vertices = 0
Size = 92, freq = 0, total vertices = 0
Size = 93, freq = 0, total vertices = 0
Size = 94, freq = 0, total vertices = 0
Size = 95, freq = 0, total vertices = 0
Size = 96, freq = 0, total vertices = 0
Size = 97, freq = 0, total vertices = 0
Size = 98, freq = 0, total vertices = 0
Size = 99, freq = 0, total vertices = 0
Size = 100, freq = 0, total vertices = 0
Size = 101, freq = 0, total vertices = 0
Size = 102, freq = 0, total vertices = 0
Size = 103, freq = 0, total vertices = 0
Size = 104, freq = 0, total vertices = 0
Size = 105, freq = 0, total vertices = 0
Size = 106, freq = 0, total vertices = 0
Size = 107, freq = 0, total vertices = 0
Size = 108, freq = 0, total vertices = 0
Size = 109, freq = 0, total vertices = 0
Size = 110, freq = 0, total vertices = 0
Size = 111, freq = 0, total vertices = 0
Size = 112, freq = 0, total vertices = 0
Size = 113, freq = 0, total vertices = 0
Size = 114, freq = 0, total vertices = 0
Size = 115, freq = 0, total vertices = 0
Size = 116, freq = 0, total vertices = 0
Size = 117, freq = 0, total vertices = 0
Size = 118, freq = 0, total vertices = 0
Size = 119, freq = 0, total vertices = 0
Size = 120, freq = 0, total vertices = 0
Size = 121, freq = 0, total vertices = 0
Size = 122, freq = 0, total vertices = 0
Size = 123, freq = 0, total vertices = 0
Size = 124, freq = 0, total vertices = 0
Size = 125, freq = 0, total vertices = 0
Size = 126, freq = 0, total vertices = 0
Size = 127, freq = 0, total vertices = 0
Size = 128, freq = 0, total vertices = 0
Size = 129, freq = 0, total vertices = 0
Size = 130, freq = 0, total vertices = 0
Size = 131, freq = 0, total vertices = 0
Size = 132, freq = 0, total vertices = 0
Size = 133, freq = 0, total vertices = 0
Size = 134, freq = 0, total vertices = 0
Size = 135, freq = 0, total vertices = 0
Size = 136, freq = 0, total vertices = 0
Size = 137, freq = 0, total vertices = 0
Size = 138, freq = 0, total vertices = 0
Size = 139, freq = 0, total vertices = 0
Size = 140, freq = 0, total vertices = 0
Size = 141, freq = 0, total vertices = 0
Size = 142, freq = 0, total vertices = 0
Size = 143, freq = 0, total vertices = 0
Size = 144, freq = 0, total vertices = 0
Size = 145, freq = 0, total vertices = 0
Size = 146, freq = 0, total vertices = 0
Size = 147, freq = 0, total vertices = 0
Size = 148, freq = 0, total vertices = 0
Size = 149, freq = 0, total vertices = 0
Size = 150, freq = 0, total vertices = 0
Size = 151, freq = 0, total vertices = 0
Size = 152, freq = 0, total vertices = 0
Size = 153, freq = 0, total vertices = 0
Size = 154, freq = 0, total vertices = 0
Size = 155, freq = 0, total vertices = 0
Size = 156, freq = 0, total vertices = 0
Size = 157, freq = 0, total vertices = 0
Size = 158, freq = 0, total vertices = 0
Size = 159, freq = 0, total vertices = 0
Size = 160, freq = 0, total vertices = 0
Size = 161, freq = 0, total vertices = 0
Size = 162, freq = 0, total vertices = 0
Size = 163, freq = 0, total vertices = 0
Size = 164, freq = 0, total vertices = 0
Size = 165, freq = 0, total vertices = 0
Size = 166, freq = 0, total vertices = 0
Size = 167, freq = 0, total vertices = 0
Size = 168, freq = 0, total vertices = 0
Size = 169, freq = 0, total vertices = 0
Size = 170, freq = 0, total vertices = 0
Size = 171, freq = 0, total vertices = 0
Size = 172, freq = 0, total vertices = 0
Size = 173, freq = 0, total vertices = 0
Size = 174, freq = 0, total vertices = 0
Size = 175, freq = 0, total vertices = 0
Size = 176, freq = 0, total vertices = 0
Size = 177, freq = 0, total vertices = 0
Size = 178, freq = 0, total vertices = 0
Size = 179, freq = 0, total vertices = 0
Size = 180, freq = 0, total vertices = 0
Size = 181, freq = 0, total vertices = 0
Size = 182, freq = 0, total vertices = 0
Size = 183, freq = 0, total vertices = 0
Size = 184, freq = 0, total vertices = 0
Size = 185, freq = 0, total vertices = 0
Size = 186, freq = 0, total vertices = 0
Size = 187, freq = 0, total vertices = 0
Size = 188, freq = 0, total vertices = 0
Size = 189, freq = 0, total vertices = 0
Size = 190, freq = 0, total vertices = 0
Size = 191, freq = 0, total vertices = 0
Size = 192, freq = 0, total vertices = 0
Size = 193, freq = 0, total vertices = 0
Size = 194, freq = 0, total vertices = 0
Size = 195, freq = 0, total vertices = 0
Size = 196, freq = 0, total vertices = 0
Size = 197, freq = 0, total vertices = 0
Size = 198, freq = 0, total vertices = 0
Size = 199, freq = 0, total vertices = 0
Size = 200, freq = 0, total vertices = 0
Size = 201, freq = 0, total vertices = 0
Size = 202, freq = 0, total vertices = 0
Size = 203, freq = 0, total vertices = 0
Size = 204, freq = 0, total vertices = 0
Size = 205, freq = 0, total vertices = 0
Size = 206, freq = 0, total vertices = 0
Size = 207, freq = 0, total vertices = 0
Size = 208, freq = 0, total vertices = 0
Size = 209, freq = 0, total vertices = 0
Size = 210, freq = 0, total vertices = 0
Size = 211, freq = 0, total vertices = 0
Size = 212, freq = 0, total vertices = 0
Size = 213, freq = 0, total vertices = 0
Size = 214, freq = 0, total vertices = 0
Size = 215, freq = 0, total vertices = 0
Size = 216, freq = 0, total vertices = 0
Size = 217, freq = 0, total vertices = 0
Size = 218, freq = 0, total vertices = 0
Size = 219, freq = 0, total vertices = 0
Size = 220, freq = 0, total vertices = 0
Size = 221, freq = 0, total vertices = 0
Size = 222, freq = 0, total vertices = 0
Size = 223, freq = 0, total vertices = 0
Size = 224, freq = 0, total vertices = 0
Size = 225, freq = 0, total vertices = 0
Size = 226, freq = 0, total vertices = 0
Size = 227, freq = 0, total vertices = 0
Size = 228, freq = 0, total vertices = 0
Size = 229, freq = 0, total vertices = 0
Size = 230, freq = 0, total vertices = 0
Size = 231, freq = 0, total vertices = 0
Size = 232, freq = 0, total vertices = 0
Size = 233, freq = 0, total vertices = 0
Size = 234, freq = 0, total vertices = 0
Size = 235, freq = 0, total vertices = 0
Size = 236, freq = 0, total vertices = 0
Size = 237, freq = 0, total vertices = 0
Size = 238, freq = 0, total vertices = 0
Size = 239, freq = 0, total vertices = 0
Size = 240, freq = 0, total vertices = 0
Size = 241, freq = 0, total vertices = 0
Size = 242, freq = 0, total vertices = 0
Size = 243, freq = 0, total vertices = 0
Size = 244, freq = 0, total vertices = 0
Size = 245, freq = 0, total vertices = 0
Size = 246, freq = 0, total vertices = 0
Size = 247, freq = 0, total vertices = 0
Size = 248, freq = 0, total vertices = 0
Size = 249, freq = 0, total vertices = 0
Size = 250, freq = 0, total vertices = 0
Size = 251, freq = 0, total vertices = 0
Size = 252, freq = 0, total vertices = 0
Size = 253, freq = 0, total vertices = 0
Size = 254, freq = 0, total vertices = 0
Size = 255, freq = 0, total vertices = 0
Size = 256, freq = 0, total vertices = 0
Size = 257, freq = 0, total vertices = 0
Size = 258, freq = 0, total vertices = 0
Size = 259, freq = 0, total vertices = 0
Size = 260, freq = 0, total vertices = 0
Size = 261, freq = 0, total vertices = 0
Size = 262, freq = 0, total vertices = 0
Size = 263, freq = 0, total vertices = 0
Size = 264, freq = 0, total vertices = 0
Size = 265, freq = 0, total vertices = 0
Size = 266, freq = 0, total vertices = 0
Size = 267, freq = 0, total vertices = 0
Size = 268, freq = 0, total vertices = 0
Size = 269, freq = 0, total vertices = 0
Size = 270, freq = 0, total vertices = 0
Size = 271, freq = 0, total vertices = 0
Size = 272, freq = 0, total vertices = 0
Size = 273, freq = 0, total vertices = 0
Size = 274, freq = 0, total vertices = 0
Size = 275, freq = 0, total vertices = 0
Size = 276, freq = 0, total vertices = 0
Size = 277, freq = 0, total vertices = 0
Size = 278, freq = 0, total vertices = 0
Size = 279, freq = 0, total vertices = 0
Size = 280, freq = 0, total vertices = 0
Size = 281, freq = 0, total vertices = 0
Size = 282, freq = 0, total vertices = 0
Size = 283, freq = 0, total vertices = 0
Size = 284, freq = 0, total vertices = 0
Size = 285, freq = 0, total vertices = 0
Size = 286, freq = 0, total vertices = 0
Size = 287, freq = 0, total vertices = 0
Size = 288, freq = 0, total vertices = 0
Size = 289, freq = 0, total vertices = 0
Size = 290, freq = 0, total vertices = 0
Size = 291, freq = 0, total vertices = 0
Size = 292, freq = 0, total vertices = 0
Size = 293, freq = 0, total vertices = 0
Size = 294, freq = 0, total vertices = 0
Size = 295, freq = 0, total vertices = 0
Size = 296, freq = 0, total vertices = 0
Size = 297, freq = 0, total vertices = 0
Size = 298, freq = 0, total vertices = 0
Size = 299, freq = 0, total vertices = 0
Size = 300, freq = 0, total vertices = 0
Size = 301, freq = 0, total vertices = 0
Size = 302, freq = 0, total vertices = 0
Size = 303, freq = 0, total vertices = 0
Size = 304, freq = 0, total vertices = 0
Size = 305, freq = 0, total vertices = 0
Size = 306, freq = 0, total vertices = 0
Size = 307, freq = 0, total vertices = 0
Size = 308, freq = 0, total vertices = 0
Size = 309, freq = 0, total vertices = 0
Size = 310, freq = 0, total vertices = 0
Size = 311, freq = 0, total vertices = 0
Size = 312, freq = 0, total vertices = 0
Size = 313, freq = 0, total vertices = 0
Size = 314, freq = 0, total vertices = 0
Size = 315, freq = 0, total vertices = 0
Size = 316, freq = 0, total vertices = 0
Size = 317, freq = 0, total vertices = 0
Size = 318, freq = 0, total vertices = 0
Size = 319, freq = 0, total vertices = 0
Size = 320, freq = 0, total vertices = 0
Size = 321, freq = 0, total vertices = 0
Size = 322, freq = 0, total vertices = 0
Size = 323, freq = 0, total vertices = 0
Size = 324, freq = 0, total vertices = 0
Size = 325, freq = 0, total vertices = 0
Size = 326, freq = 0, total vertices = 0
Size = 327, freq = 0, total vertices = 0
Size = 328, freq = 0, total vertices = 0
Size = 329, freq = 0, total vertices = 0
Size = 330, freq = 0, total vertices = 0
Size = 331, freq = 0, total vertices = 0
Size = 332, freq = 0, total vertices = 0
Size = 333, freq = 0, total vertices = 0
Size = 334, freq = 0, total vertices = 0
Size = 335, freq = 0, total vertices = 0
Size = 336, freq = 0, total vertices = 0
Size = 337, freq = 0, total vertices = 0
Size = 338, freq = 0, total vertices = 0
Size = 339, freq = 0, total vertices = 0
Size = 340, freq = 0, total vertices = 0
Size = 341, freq = 0, total vertices = 0
Size = 342, freq = 0, total vertices = 0
Size = 343, freq = 0, total vertices = 0
Size = 344, freq = 0, total vertices = 0
Size = 345, freq = 0, total vertices = 0
Size = 346, freq = 0, total vertices = 0
Size = 347, freq = 0, total vertices = 0
Size = 348, freq = 0, total vertices = 0
Size = 349, freq = 0, total vertices = 0
Size = 350, freq = 0, total vertices = 0
Size = 351, freq = 0, total vertices = 0
Size = 352, freq = 0, total vertices = 0
Size = 353, freq = 0, total vertices = 0
Size = 354, freq = 0, total vertices = 0
Size = 355, freq = 0, total vertices = 0
Size = 356, freq = 0, total vertices = 0
Size = 357, freq = 0, total vertices = 0
Size = 358, freq = 0, total vertices = 0
Size = 359, freq = 0, total vertices = 0
Size = 360, freq = 0, total vertices = 0
Size = 361, freq = 0, total vertices = 0
Size = 362, freq = 0, total vertices = 0
Size = 363, freq = 0, total vertices = 0
Size = 364, freq = 0, total vertices = 0
Size = 365, freq = 0, total vertices = 0
Size = 366, freq = 0, total vertices = 0
Size = 367, freq = 0, total vertices = 0
Size = 368, freq = 0, total vertices = 0
Size = 369, freq = 0, total vertices = 0
Size = 370, freq = 0, total vertices = 0
Size = 371, freq = 0, total vertices = 0
Size = 372, freq = 0, total vertices = 0
Size = 373, freq = 0, total vertices = 0
Size = 374, freq = 0, total vertices = 0
Size = 375, freq = 0, total vertices = 0
Size = 376, freq = 0, total vertices = 0
Size = 377, freq = 0, total vertices = 0
Size = 378, freq = 0, total vertices = 0
Size = 379, freq = 0, total vertices = 0
Size = 380, freq = 0, total vertices = 0
Size = 381, freq = 0, total vertices = 0
Size = 382, freq = 0, total vertices = 0
Size = 383, freq = 0, total vertices = 0
Size = 384, freq = 0, total vertices = 0
Size = 385, freq = 0, total vertices = 0
Size = 386, freq = 0, total vertices = 0
Size = 387, freq = 0, total vertices = 0
Size = 388, freq = 0, total vertices = 0
Size = 389, freq = 0, total vertices = 0
Size = 390, freq = 0, total vertices = 0
Size = 391, freq = 0, total vertices = 0
Size = 392, freq = 0, total vertices = 0
Size = 393, freq = 0, total vertices = 0
Size = 394, freq = 0, total vertices = 0
Size = 395, freq = 0, total vertices = 0
Size = 396, freq = 0, total vertices = 0
Size = 397, freq = 0, total vertices = 0
Size = 398, freq = 0, total vertices = 0
Size = 399, freq = 0, total vertices = 0
Size = 400, freq = 0, total vertices = 0
Size = 401, freq = 0, total vertices = 0
Size = 402, freq = 0, total vertices = 0
Size = 403, freq = 0, total vertices = 0
Size = 404, freq = 0, total vertices = 0
Size = 405, freq = 0, total vertices = 0
Size = 406, freq = 0, total vertices = 0
Size = 407, freq = 0, total vertices = 0
Size = 408, freq = 0, total vertices = 0
Size = 409, freq = 0, total vertices = 0
Size = 410, freq = 0, total vertices = 0
Size = 411, freq = 0, total vertices = 0
Size = 412, freq = 0, total vertices = 0
Size = 413, freq = 0, total vertices = 0
Size = 414, freq = 0, total vertices = 0
Size = 415, freq = 0, total vertices = 0
Size = 416, freq = 0, total vertices = 0
Size = 417, freq = 0, total vertices = 0
Size = 418, freq = 0, total vertices = 0
Size = 419, freq = 0, total vertices = 0
Size = 420, freq = 0, total vertices = 0
Size = 421, freq = 0, total vertices = 0
Size = 422, freq = 0, total vertices = 0
Size = 423, freq = 0, total vertices = 0
Size = 424, freq = 0, total vertices = 0
Size = 425, freq = 0, total vertices = 0
Size = 426, freq = 0, total vertices = 0
Size = 427, freq = 0, total vertices = 0
Size = 428, freq = 0, total vertices = 0
Size = 429, freq = 0, total vertices = 0
Size = 430, freq = 0, total vertices = 0
Size = 431, freq = 0, total vertices = 0
Size = 432, freq = 0, total vertices = 0
Size = 433, freq = 0, total vertices = 0
Size = 434, freq = 0, total vertices = 0
Size = 435, freq = 0, total vertices = 0
Size = 436, freq = 0, total vertices = 0
Size = 437, freq = 0, total vertices = 0
Size = 438, freq = 0, total vertices = 0
Size = 439, freq = 0, total vertices = 0
Size = 440, freq = 0, total vertices = 0
Size = 441, freq = 0, total vertices = 0
Size = 442, freq = 0, total vertices = 0
Size = 443, freq = 0, total vertices = 0
Size = 444, freq = 0, total vertices = 0
Size = 445, freq = 0, total vertices = 0
Size = 446, freq = 0, total vertices = 0
Size = 447, freq = 0, total vertices = 0
Size = 448, freq = 0, total vertices = 0
Size = 449, freq = 0, total vertices = 0
Size = 450, freq = 0, total vertices = 0
Size = 451, freq = 0, total vertices = 0
Size = 452, freq = 0, total vertices = 0
Size = 453, freq = 0, total vertices = 0
Size = 454, freq = 0, total vertices = 0
Size = 455, freq = 0, total vertices = 0
Size = 456, freq = 0, total vertices = 0
Size = 457, freq = 0, total vertices = 0
Size = 458, freq = 0, total vertices = 0
Size = 459, freq = 0, total vertices = 0
Size = 460, freq = 0, total vertices = 0
Size = 461, freq = 0, total vertices = 0
Size = 462, freq = 0, total vertices = 0
Size = 463, freq = 0, total vertices = 0
Size = 464, freq = 0, total vertices = 0
Size = 465, freq = 0, total vertices = 0
Size = 466, freq = 0, total vertices = 0
Size = 467, freq = 0, total vertices = 0
Size = 468, freq = 0, total vertices = 0
Size = 469, freq = 0, total vertices = 0
Size = 470, freq = 0, total vertices = 0
Size = 471, freq = 0, total vertices = 0
Size = 472, freq = 0, total vertices = 0
Size = 473, freq = 0, total vertices = 0
Size = 474, freq = 0, total vertices = 0
Size = 475, freq = 0, total vertices = 0
Size = 476, freq = 0, total vertices = 0
Size = 477, freq = 0, total vertices = 0
Size = 478, freq = 0, total vertices = 0
Size = 479, freq = 0, total vertices = 0
Size = 480, freq = 0, total vertices = 0
Size = 481, freq = 0, total vertices = 0
Size = 482, freq = 0, total vertices = 0
Size = 483, freq = 0, total vertices = 0
Size = 484, freq = 0, total vertices = 0
Size = 485, freq = 0, total vertices = 0
Size = 486, freq = 0, total vertices = 0
Size = 487, freq = 0, total vertices = 0
Size = 488, freq = 0, total vertices = 0
Size = 489, freq = 0, total vertices = 0
Size = 490, freq = 0, total vertices = 0
Size = 491, freq = 0, total vertices = 0
Size = 492, freq = 0, total vertices = 0
Size = 493, freq = 0, total vertices = 0
Size = 494, freq = 0, total vertices = 0
Size = 495, freq = 0, total vertices = 0
Size = 496, freq = 0, total vertices = 0
Size = 497, freq = 0, total vertices = 0
Size = 498, freq = 0, total vertices = 0
Size = 499, freq = 0, total vertices = 0
Size = 500, freq = 0, total vertices = 0
Size = 501, freq = 0, total vertices = 0
Size = 502, freq = 0, total vertices = 0
Size = 503, freq = 0, total vertices = 0
Size = 504, freq = 0, total vertices = 0
Size = 505, freq = 0, total vertices = 0
Size = 506, freq = 0, total vertices = 0
Size = 507, freq = 0, total vertices = 0
Size = 508, freq = 0, total vertices = 0
Size = 509, freq = 0, total vertices = 0
Size = 510, freq = 0, total vertices = 0
Size = 511, freq = 0, total vertices = 0
Size = 512, freq = 0, total vertices = 0
Size = 513, freq = 0, total vertices = 0
Size = 514, freq = 0, total vertices = 0
Size = 515, freq = 0, total vertices = 0
Size = 516, freq = 0, total vertices = 0
Size = 517, freq = 0, total vertices = 0
Size = 518, freq = 0, total vertices = 0
Size = 519, freq = 0, total vertices = 0
Size = 520, freq = 0, total vertices = 0
Size = 521, freq = 0, total vertices = 0
Size = 522, freq = 0, total vertices = 0
Size = 523, freq = 0, total vertices = 0
Size = 524, freq = 0, total vertices = 0
Size = 525, freq = 0, total vertices = 0
Size = 526, freq = 0, total vertices = 0
Size = 527, freq = 0, total vertices = 0
Size = 528, freq = 0, total vertices = 0
Size = 529, freq = 0, total vertices = 0
Size = 530, freq = 0, total vertices = 0
Size = 531, freq = 0, total vertices = 0
Size = 532, freq = 0, total vertices = 0
Size = 533, freq = 0, total vertices = 0
Size = 534, freq = 0, total vertices = 0
Size = 535, freq = 0, total vertices = 0
Size = 536, freq = 0, total vertices = 0
Size = 537, freq = 0, total vertices = 0
Size = 538, freq = 0, total vertices = 0
Size = 539, freq = 0, total vertices = 0
Size = 540, freq = 0, total vertices = 0
Size = 541, freq = 0, total vertices = 0
Size = 542, freq = 0, total vertices = 0
Size = 543, freq = 0, total vertices = 0
Size = 544, freq = 0, total vertices = 0
Size = 545, freq = 0, total vertices = 0
Size = 546, freq = 0, total vertices = 0
Size = 547, freq = 0, total vertices = 0
Size = 548, freq = 0, total vertices = 0
Size = 549, freq = 0, total vertices = 0
Size = 550, freq = 0, total vertices = 0
Size = 551, freq = 0, total vertices = 0
Size = 552, freq = 0, total vertices = 0
Size = 553, freq = 0, total vertices = 0
Size = 554, freq = 0, total vertices = 0
Size = 555, freq = 0, total vertices = 0
Size = 556, freq = 0, total vertices = 0
Size = 557, freq = 0, total vertices = 0
Size = 558, freq = 0, total vertices = 0
Size = 559, freq = 0, total vertices = 0
Size = 560, freq = 0, total vertices = 0
Size = 561, freq = 0, total vertices = 0
Size = 562, freq = 0, total vertices = 0
Size = 563, freq = 0, total vertices = 0
Size = 564, freq = 0, total vertices = 0
Size = 565, freq = 0, total vertices = 0
Size = 566, freq = 0, total vertices = 0
Size = 567, freq = 0, total vertices = 0
Size = 568, freq = 0, total vertices = 0
Size = 569, freq = 0, total vertices = 0
Size = 570, freq = 0, total vertices = 0
Size = 571, freq = 0, total vertices = 0
Size = 572, freq = 0, total vertices = 0
Size = 573, freq = 0, total vertices = 0
Size = 574, freq = 0, total vertices = 0
Size = 575, freq = 0, total vertices = 0
Size = 576, freq = 0, total vertices = 0
Size = 577, freq = 0, total vertices = 0
Size = 578, freq = 0, total vertices = 0
Size = 579, freq = 0, total vertices = 0
Size = 580, freq = 0, total vertices = 0
Size = 581, freq = 0, total vertices = 0
Size = 582, freq = 0, total vertices = 0
Size = 583, freq = 0, total vertices = 0
Size = 584, freq = 0, total vertices = 0
Size = 585, freq = 0, total vertices = 0
Size = 586, freq = 0, total vertices = 0
Size = 587, freq = 0, total vertices = 0
Size = 588, freq = 0, total vertices = 0
Size = 589, freq = 0, total vertices = 0
Size = 590, freq = 0, total vertices = 0
Size = 591, freq = 0, total vertices = 0
Size = 592, freq = 0, total vertices = 0
Size = 593, freq = 0, total vertices = 0
Size = 594, freq = 0, total vertices = 0
Size = 595, freq = 0, total vertices = 0
Size = 596, freq = 0, total vertices = 0
Size = 597, freq = 0, total vertices = 0
Size = 598, freq = 0, total vertices = 0
Size = 599, freq = 0, total vertices = 0
Size = 600, freq = 0, total vertices = 0
Size = 601, freq = 0, total vertices = 0
Size = 602, freq = 0, total vertices = 0
Size = 603, freq = 0, total vertices = 0
Size = 604, freq = 0, total vertices = 0
Size = 605, freq = 0, total vertices = 0
Size = 606, freq = 0, total vertices = 0
Size = 607, freq = 0, total vertices = 0
Size = 608, freq = 0, total vertices = 0
Size = 609, freq = 0, total vertices = 0
Size = 610, freq = 0, total vertices = 0
Size = 611, freq = 0, total vertices = 0
Size = 612, freq = 0, total vertices = 0
Size = 613, freq = 0, total vertices = 0
Size = 614, freq = 0, total vertices = 0
Size = 615, freq = 0, total vertices = 0
Size = 616, freq = 0, total vertices = 0
Size = 617, freq = 0, total vertices = 0
Size = 618, freq = 0, total vertices = 0
Size = 619, freq = 0, total vertices = 0
Size = 620, freq = 0, total vertices = 0
Size = 621, freq = 0, total vertices = 0
Size = 622, freq = 0, total vertices = 0
Size = 623, freq = 0, total vertices = 0
Size = 624, freq = 0, total vertices = 0
Size = 625, freq = 0, total vertices = 0
Size = 626, freq = 0, total vertices = 0
Size = 627, freq = 0, total vertices = 0
Size = 628, freq = 0, total vertices = 0
Size = 629, freq = 0, total vertices = 0
Size = 630, freq = 0, total vertices = 0
Size = 631, freq = 0, total vertices = 0
Size = 632, freq = 0, total vertices = 0
Size = 633, freq = 0, total vertices = 0
Size = 634, freq = 0, total vertices = 0
Size = 635, freq = 0, total vertices = 0
Size = 636, freq = 0, total vertices = 0
Size = 637, freq = 0, total vertices = 0
Size = 638, freq = 0, total vertices = 0
Size = 639, freq = 0, total vertices = 0
Size = 640, freq = 0, total vertices = 0
Size = 641, freq = 0, total vertices = 0
Size = 642, freq = 0, total vertices = 0
Size = 643, freq = 0, total vertices = 0
Size = 644, freq = 0, total vertices = 0
Size = 645, freq = 0, total vertices = 0
Size = 646, freq = 0, total vertices = 0
Size = 647, freq = 0, total vertices = 0
Size = 648, freq = 0, total vertices = 0
Size = 649, freq = 0, total vertices = 0
Size = 650, freq = 0, total vertices = 0
Size = 651, freq = 0, total vertices = 0
Size = 652, freq = 0, total vertices = 0
Size = 653, freq = 0, total vertices = 0
Size = 654, freq = 0, total vertices = 0
Size = 655, freq = 0, total vertices = 0
Size = 656, freq = 0, total vertices = 0
Size = 657, freq = 0, total vertices = 0
Size = 658, freq = 0, total vertices = 0
Size = 659, freq = 0, total vertices = 0
Size = 660, freq = 0, total vertices = 0
Size = 661, freq = 0, total vertices = 0
Size = 662, freq = 0, total vertices = 0
Size = 663, freq = 0, total vertices = 0
Size = 664, freq = 0, total vertices = 0
Size = 665, freq = 0, total vertices = 0
Size = 666, freq = 0, total vertices = 0
Size = 667, freq = 0, total vertices = 0
Size = 668, freq = 0, total vertices = 0
Size = 669, freq = 0, total vertices = 0
Size = 670, freq = 0, total vertices = 0
Size = 671, freq = 0, total vertices = 0
Size = 672, freq = 0, total vertices = 0
Size = 673, freq = 0, total vertices = 0
Size = 674, freq = 0, total vertices = 0
Size = 675, freq = 0, total vertices = 0
Size = 676, freq = 0, total vertices = 0
Size = 677, freq = 0, total vertices = 0
Size = 678, freq = 0, total vertices = 0
Size = 679, freq = 0, total vertices = 0
Size = 680, freq = 0, total vertices = 0
Size = 681, freq = 0, total vertices = 0
Size = 682, freq = 0, total vertices = 0
Size = 683, freq = 0, total vertices = 0
Size = 684, freq = 0, total vertices = 0
Size = 685, freq = 0, total vertices = 0
Size = 686, freq = 0, total vertices = 0
Size = 687, freq = 0, total vertices = 0
Size = 688, freq = 0, total vertices = 0
Size = 689, freq = 0, total vertices = 0
Size = 690, freq = 0, total vertices = 0
Size = 691, freq = 0, total vertices = 0
Size = 692, freq = 0, total vertices = 0
Size = 693, freq = 0, total vertices = 0
Size = 694, freq = 0, total vertices = 0
Size = 695, freq = 0, total vertices = 0
Size = 696, freq = 0, total vertices = 0
Size = 697, freq = 0, total vertices = 0
Size = 698, freq = 0, total vertices = 0
